"","all-MiniLM-L12-v2+Euclidean distance","e5-large+Euclidean distance","all-mpnet-base-v2+Euclidean distance","LTE-3+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","LTE-3+AP","LTE-3+K-means","ADA-002+Euclidean distance","ADA-002+AP","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","e5large_v2+Euclidean distance","gtr-t5-large+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","BioGPT+Euclidean distance","ClinicalBERT+Euclidean distance","LaBSE+Euclidean distance","MedLlama_13B+Euclidean distance","Levenshtein","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","Cosine+AP","DeepSeek_8B+Euclidean distance","PubMedBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","sciBERT+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"all-MiniLM-L12-v2+Euclidean distance",NA,0.948788456378946,0.777297917613865,0.771764002928793,0.220223644322909,0.328241602885054,0.128373273743555,0.0305676745305528,0.0131494069111439,0.000341350073709252,2.18480567144335e-06,1.62645335001513e-08,1.27661153774643e-09,3.58214379846231e-14,1.3811814714512e-15,2.72063775975662e-17,9.78554357452627e-50,1.74351689225018e-51,1.29359473588976e-61,3.70547538462014e-69,3.23998375429276e-75,6.77947051010605e-77,5.72620024648104e-82,2.37685539923534e-91,1.24084549734936e-91,3.36158622992538e-97,2.59047696382035e-96,1.83049541698026e-97,7.4460515113911e-96,1.78225133719383e-98,2.20498348401563e-100,1.98122397883866e-100,2.75748578780637e-103,6.66521578270626e-105,3.4347264249196e-114,1.43847774227533e-118
"e5-large+Euclidean distance",0.948788456378946,NA,0.890301915526987,0.859835743039612,0.455329369556431,0.363758224228448,0.145261093138609,0.0259619455814965,0.010649194459536,0.000238825081781772,2.45261063786311e-06,1.32576186010232e-08,7.86242152529419e-10,1.02100987426786e-13,5.36389289605778e-16,3.46291491690643e-18,2.11022004705686e-51,1.5645579245532e-49,1.69441154899009e-61,1.43550126421424e-70,3.73464869440165e-74,1.59133683089258e-75,3.16291634641226e-81,5.52387973681089e-92,1.30406953981405e-92,4.46708236041779e-96,2.85634702477416e-96,2.02700535121585e-97,2.49566855308189e-100,1.86567959903403e-99,1.45276852836561e-103,3.69401808479117e-102,1.45276852836561e-103,6.18843344101685e-106,2.83843549814633e-115,3.69214004639365e-119
"all-mpnet-base-v2+Euclidean distance",0.777297917613865,0.890301915526987,NA,1,0.579956232433616,0.47184325699791,0.203322373489049,0.0565533443960402,0.0245903754903177,0.000772438502174391,3.2373761393752e-06,1.32230503793957e-09,3.3747838570094e-09,5.32083171212305e-13,1.64131184315178e-16,5.19283768030568e-18,1.79933105459683e-49,1.86443711302756e-50,9.96927254953593e-63,1.26913213519582e-69,3.89104509969304e-76,7.84576344024709e-78,6.34208901328767e-83,2.36705996497443e-91,2.78272293610416e-91,3.60428166354657e-96,2.65503915136097e-95,3.18902503671667e-98,1.28231674924329e-98,1.52107002065657e-99,1.36438000575124e-102,1.56092589287443e-101,1.15695545594672e-103,7.9191237835496e-107,2.89496973438991e-114,1.31682323856609e-117
"LTE-3+Euclidean distance",0.771764002928793,0.859835743039612,1,NA,0.679425969686851,0.0434253620622856,0.014406235346908,0.0509838212852179,0.021618270084962,0.000482897624350278,2.60963726425866e-05,9.60982397126851e-08,1.29037313927911e-08,2.00954853968401e-12,4.28214819149341e-18,2.58824582611351e-22,7.60054384439182e-51,6.97854511886203e-52,7.64994211581135e-65,4.88829682062977e-74,9.76679241428729e-79,4.31904147457018e-80,1.79421787427567e-84,2.15012461396963e-96,2.01697385470501e-97,1.09202988436187e-99,6.91284145285012e-100,7.83341336938609e-100,2.1288197506772e-101,2.85205083828359e-102,1.21675413966925e-104,1.53204937746493e-103,9.61836975707966e-106,2.27315819333787e-107,1.38049215667683e-115,3.69214004639365e-119
"all-MiniLM-L6-v2+Euclidean distance",0.220223644322909,0.455329369556431,0.579956232433616,0.679425969686851,NA,0.866324036062235,0.465168865131917,0.180014038680226,0.0920242574819886,0.00502107361080766,0.000129001939505127,3.73308507227649e-06,3.89723030787047e-07,6.65918574100916e-11,1.15251328024756e-13,7.94459729280038e-15,1.26884207813195e-47,1.33616878741652e-48,1.62680331508592e-57,8.73032775022724e-65,6.0461062255472e-72,1.24708793740933e-73,5.11750785091579e-79,2.16886707552921e-88,1.11568270155469e-88,8.09210119964994e-93,5.55952295166895e-92,1.1529304796487e-95,1.37549074789692e-93,5.65482310075928e-96,1.59555143817139e-97,1.3838795385896e-97,2.11380949971661e-100,1.08050992510957e-101,1.0745414597994e-111,3.71888401586463e-116
"LTE-3+AP",0.328241602885054,0.363758224228448,0.47184325699791,0.0434253620622856,0.866324036062235,NA,0.294741832109883,0.271565950870795,0.141895135727743,0.00693037830082174,0.00106317316709045,6.73262135105364e-06,2.0524903067707e-06,1.76926866012433e-09,2.99731941899268e-15,4.19356738358531e-19,2.62232990522913e-46,1.62051486432837e-47,1.17160809508295e-59,8.81852806687592e-69,4.661977694467e-74,2.038310907919e-75,7.25083641685748e-81,1.06770756045748e-92,1.00556261310365e-93,1.92552461238374e-96,2.83183649059256e-96,6.36998940561529e-96,2.01697385470501e-97,5.81541575907036e-98,1.21897569643901e-100,1.36169530196176e-99,2.1288197506772e-101,4.83160896292829e-103,5.68478617778762e-112,8.91107089862751e-116
"LTE-3+K-means",0.128373273743555,0.145261093138609,0.203322373489049,0.014406235346908,0.465168865131917,0.294741832109883,NA,0.66302300465985,0.41374553268498,0.038929706245307,0.00966681667186014,0.000213723971602004,8.75625279948756e-05,3.09826785510861e-07,2.12925838922354e-12,9.38207447639587e-16,5.37771048610514e-42,1.2470959409681e-42,2.63344516346157e-54,7.08254082294634e-64,6.17735903207923e-70,1.23046849995209e-71,4.1797052430794e-75,1.80601547036574e-86,1.83742206030492e-87,7.1147027304499e-90,8.29566627910072e-91,1.40595162809057e-90,4.77801388829455e-92,2.48651379118394e-92,4.46708236041779e-96,1.02742951025261e-94,7.45025472726478e-97,3.46265996426275e-99,7.9191237835496e-107,6.46415982632514e-112
"ADA-002+Euclidean distance",0.0305676745305528,0.0259619455814965,0.0565533443960402,0.0509838212852179,0.180014038680226,0.271565950870795,0.66302300465985,NA,0.328241602885054,0.0012182172939856,0.0266466267333219,0.00060292932635422,0.000396407309990498,3.44121334533745e-07,2.18771802992183e-11,5.19687941163352e-13,6.90617469725059e-43,1.31679678523524e-40,6.37496314531019e-53,1.0614745256621e-63,5.61127737408167e-67,2.70338066607472e-69,8.32723282066702e-73,4.091707662108e-85,9.26199769952659e-86,1.2502007671981e-89,1.76973620797567e-89,1.74545609197929e-92,2.78606372305049e-93,3.14759157366902e-94,3.11932677571029e-96,2.85634702477416e-96,1.90892670706878e-98,5.51482887023604e-99,3.48523190140231e-108,5.90020654290771e-113
"ADA-002+AP",0.0131494069111439,0.010649194459536,0.0245903754903177,0.021618270084962,0.0920242574819886,0.141895135727743,0.41374553268498,0.328241602885054,NA,0.0121304829774071,0.0785422518627489,0.00250005035825312,0.0019197324350576,5.49953915106566e-06,2.9776796277552e-10,8.5067206935032e-12,1.60307686193252e-40,3.31834193772636e-38,2.40464053890144e-50,1.58038897820401e-61,1.24437630600261e-63,8.67170580463788e-67,6.29657982276832e-71,9.6951413005767e-82,2.26914869762837e-82,6.83418619954411e-87,9.4821013037721e-87,1.76050560722318e-90,3.56978449742407e-90,7.2604232236883e-92,4.03525921888769e-93,1.52135210276651e-93,2.1428348130565e-95,2.07096456705865e-97,8.63935461087048e-106,1.51117041768722e-110
"ADA-002+K-means",0.000341350073709252,0.000238825081781772,0.000772438502174391,0.000482897624350278,0.00502107361080766,0.00693037830082174,0.038929706245307,0.0012182172939856,0.0121304829774071,NA,0.589463515535491,0.0780638824974335,0.0529224987349003,0.00118131217422332,4.72267703232975e-07,1.78639870878843e-08,4.27582902036517e-33,1.3038800580673e-32,2.19460119130826e-43,3.05506010542592e-54,5.12206608848661e-58,1.73141539686567e-60,6.42295500577918e-65,9.83242235504674e-76,1.09016366638117e-76,1.93907840184129e-80,2.55775664171845e-80,3.30366369594427e-82,2.68307002311563e-83,1.16086541026586e-84,5.72557287897736e-87,4.98185484096777e-86,3.04844961746087e-89,3.11669083498773e-90,2.75306903241865e-98,1.21675413966925e-104
