"","method","all"
"1","LTE-3+Euclidean Dist",69.1
"2","e5-large+Euclidean Dist",68.2
"3","LTE-3+AP",67.5
"4","all-mpnet-base-v2+Euclidean Dist",67.4
"5","ADA-002+Euclidean Dist",66.7
"6","all-MiniLM-L6-v2+Euclidean Dist",66
"7","all-MiniLM-L12-v2+Euclidean Dist",66
"8","ADA-002+AP",65.2
"9","LTE-3+KMeans",64.9
"10","ADA-002+KMeans",64
"11","nomic+Euclidean Dist",62.2
"12","all-roberta-large-v1+Euclidean Dist",59.1
"13","gtr-t5-large+Euclidean Dist",58
"14","e5large_v2+Euclidean Dist",56.3
"15","embed-english-v2.0+Euclidean Dist",53.6
"16","sapBERT+Euclidean Dist",47.9
"17","ClinicalBERT+Euclidean Dist",40.1
"18","BioGPT+Euclidean Dist",39.6
"19","LaBSE+Euclidean Dist",35.2
"20","Levenshtein",32.6
"21","MedLlama_13B+Euclidean Dist",29.8
"22","Levenshtein+AP",29.3
"23","Llama3.3_70B+Euclidean Dist",27.2
"24","Jarro Winkler",25.5
"25","Jarro Winkler+AP",24.4
"26","Cosine",23.9
"27","DeepSeek_8B+Euclidean Dist",23.4
"28","Cosine+AP",22.7
"29","PubMedBERT+Euclidean Dist",22.5
"30","sciBERT+Euclidean Dist",21.4
"31","BioBERT+Euclidean Dist",21.3
"32","LLama3.2_3B+Euclidean Dist",21.1
"33","LLama3.0+Euclidean Dist",20.3
"34","ModernBERT+Euclidean Dist",19.3
"35","Phi-4+Euclidean Dist",17.2
"36","MedLlama2+Euclidean Dist",15.4
