"","LTE-3+Euclidean distance","ADA-002+Euclidean distance","ADA-002+AP","LTE3+AP","LTE-3+K-means","ADA-002+K-means","all_MiniLM_L6_v2+Euclidean distance","all_mpnet_base+Euclidean distance","e5_large+Euclidean distance","all_MiniLM_L12_v2+Euclidean distance","nomic+Euclidean distance"
"LTE-3+Euclidean distance",0.615783569871047,0.139418048060226,0.125271908178973,0.486314971263761,0.364893737073274,0.107362872970393,0.0801242053312317,0.0944090957683352,0.0784100569222188,0.0758332160297632,0.123658831531086
"ADA-002+Euclidean distance",0.139418048060226,0.63294294824913,0.528266240836737,0.12154639399215,0.107219219796042,0.408262510832381,0.139166836004214,0.132068923735926,0.130403905876465,0.109079982594956,0.143404276053634
"ADA-002+AP",0.125271908178973,0.528266240836737,0.643888350330687,0.119802271452592,0.114113214138658,0.4038644877061,0.123791385280263,0.117622480470072,0.114518487975571,0.0941920388330599,0.123833183249532
"LTE3+AP",0.486314971263761,0.12154639399215,0.119802271452592,0.628370484091633,0.372782089780007,0.115407446859755,0.0658482028165901,0.0757121790159019,0.0693562223066193,0.0634788203517651,0.106992844528264
"LTE-3+K-means",0.364893737073274,0.107219219796042,0.114113214138658,0.372782089780007,0.646163813552354,0.116748261776812,0.0626844391081178,0.06818157656779,0.0613319139842083,0.0563719557870526,0.101395622817154
"ADA-002+K-means",0.107362872970393,0.408262510832381,0.4038644877061,0.115407446859755,0.116748261776812,0.651606205109957,0.1053477114681,0.0981643302087312,0.108547144832921,0.0833817552299632,0.109834468537658
"all_MiniLM_L6_v2+Euclidean distance",0.0801242053312317,0.139166836004214,0.123791385280263,0.0658482028165901,0.0626844391081178,0.1053477114681,0.639167048158425,0.195036209440504,0.204952314452313,0.292178504880737,0.179722274256373
"all_mpnet_base+Euclidean distance",0.0944090957683352,0.132068923735926,0.117622480470072,0.0757121790159019,0.06818157656779,0.0981643302087312,0.195036209440504,0.63165474799865,0.187466949528165,0.204364601191469,0.208446045327284
"e5_large+Euclidean distance",0.0784100569222188,0.130403905876465,0.114518487975571,0.0693562223066193,0.0613319139842083,0.108547144832921,0.204952314452313,0.187466949528165,0.622924814867261,0.163906700386875,0.182435948129202
"all_MiniLM_L12_v2+Euclidean distance",0.0758332160297632,0.109079982594956,0.0941920388330599,0.0634788203517651,0.0563719557870526,0.0833817552299632,0.292178504880737,0.204364601191469,0.163906700386875,0.638560825141881,0.166065269662515
"nomic+Euclidean distance",0.123658831531086,0.143404276053634,0.123833183249532,0.106992844528264,0.101395622817154,0.109834468537658,0.179722274256373,0.208446045327284,0.182435948129202,0.166065269662515,0.664134143668997
