"","LTE-3+Euclidean distance","e5-large+Euclidean distance","LTE-3+AP","all-mpnet-base-v2+Euclidean distance","ADA-002+Euclidean distance","all-MiniLM-L12-v2+Euclidean distance","all-MiniLM-L6-v2+Euclidean distance","ADA-002+AP","LTE-3+K-means","ADA-002+K-means","nomic+Euclidean distance","all-roberta-large-v1+Euclidean distance","gtr-t5-large+Euclidean distance","e5large_v2+Euclidean distance","embed-english-v2.0+Euclidean distance","sapBERT+Euclidean distance","ClinicalBERT+Euclidean distance","BioGPT+Euclidean distance","LaBSE+Euclidean distance","Levenshtein","MedLlama_13B+Euclidean distance","Levenshtein+AP","Llama3.3_70B+Euclidean distance","Jaro Winkler","Jaro Winkler+AP","Cosine","DeepSeek_8B+Euclidean distance","Cosine+AP","PubMedBERT+Euclidean distance","sciBERT+Euclidean distance","LLama3.2_3B+Euclidean distance","BioBERT+Euclidean distance","LLama3.0+Euclidean distance","ModernBERT+Euclidean distance","Phi-4+Euclidean distance","MedLlama2+Euclidean distance"
"LTE-3+Euclidean distance",NA,0.611090270172413,0.00549643054154701,0.19739672451859,0.123093099069383,0.0624335692300689,0.052783983018157,0.00863331879260799,1.91627104469645e-06,0.000760946116376565,4.80170684649701e-07,5.73778700017466e-11,9.43055282885845e-14,8.23426677595753e-17,2.4158967606421e-23,8.60181017561777e-39,9.85057258449954e-60,1.16688450926161e-59,3.12340421485678e-75,1.02394493749518e-79,9.51243432244585e-91,2.1182104345245e-87,1.3340448134134e-95,9.00081105359442e-102,1.80209972950345e-104,2.02735838632383e-105,2.96770065378971e-107,1.09507302640186e-107,1.54246384883174e-108,3.40781677622286e-111,4.40251158167748e-113,4.4298412639242e-114,3.15647767688974e-114,2.66620238525645e-116,3.92935711038835e-123,1.54741351399863e-125
"e5-large+Euclidean distance",0.611090270172413,NA,0.701568690811604,0.402540644403493,0.383213300729017,0.124318339683794,0.0819427907812138,0.0525066443458829,0.0509759092694764,0.0058062207569314,8.69280887388028e-07,1.30760260092016e-10,1.729767758715e-13,1.83553988908463e-16,8.63105097944563e-19,2.29553964949905e-32,4.31538263900065e-57,1.76168391527613e-56,1.95634042486439e-71,1.65713304015222e-71,4.64507547137666e-83,1.50762193592278e-79,1.16427796919733e-90,1.37529026385699e-91,3.09687349616643e-94,8.80532785888841e-101,7.83157207061883e-101,4.8217542976308e-103,7.13935479071453e-107,5.2044387470171e-108,2.12775708030223e-106,1.49826315284785e-110,9.12650970804329e-111,2.12214914620182e-112,1.54179121391111e-118,1.15033079590676e-123
"LTE-3+AP",0.00549643054154701,0.701568690811604,NA,0.826958656749064,0.715117515393453,0.418710888496221,0.38537184358426,0.144903040818822,0.00325040006997771,0.0218170524504714,0.000153809666789165,7.20258671115014e-08,7.73890892245722e-10,1.96261180215975e-12,3.31122939475086e-19,8.54899800228726e-33,2.46480107149854e-52,4.9764979306765e-53,3.74764748559152e-68,2.74077421149557e-74,4.80653176484104e-84,3.09587739062658e-82,1.17449788751943e-89,7.46515744111252e-97,1.43210727979141e-99,1.76448377406523e-99,6.34624334097766e-101,4.23519795011753e-102,6.2226664168056e-102,4.83676302474328e-106,1.42145445411496e-107,2.0351143866558e-107,1.78589758304294e-109,8.38326854339558e-111,6.5175044449045e-117,9.79110202941517e-121
"all-mpnet-base-v2+Euclidean distance",0.19739672451859,0.402540644403493,0.826958656749064,NA,0.954376554445492,0.477779896107058,0.442050748256772,0.25139081094983,0.209963256698937,0.0553614915108863,2.444468996091e-05,3.95008572898573e-10,1.31046025446605e-10,2.42368828578163e-14,2.01552065032541e-17,2.78069787794691e-30,3.23182943885182e-55,2.93900834083631e-52,2.0511165577967e-67,6.26928104346796e-70,4.79986953428378e-79,5.0456868829571e-78,6.66633793919952e-88,3.33559761380574e-88,3.31330429065603e-90,1.224244515086e-96,1.56145895545395e-99,5.83829857831991e-99,4.90541129425975e-103,1.26679267513255e-104,4.16559315532679e-105,3.29965336489596e-108,1.13266334635459e-106,3.66931940076023e-110,7.24148708990309e-115,4.01076811534719e-120
"ADA-002+Euclidean distance",0.123093099069383,0.383213300729017,0.715117515393453,0.954376554445492,NA,0.638003080947848,0.573597431428941,0.00161484433122676,0.215288967186803,0.000393746430908307,0.000314633651336735,1.40870058148992e-07,9.09114411962982e-11,6.12196757569712e-12,2.84338034114356e-18,6.5101280459476e-30,3.73742767446373e-51,1.32878417708204e-52,5.43824238897783e-67,3.48138283964898e-72,6.64961068497564e-83,9.61125312138964e-81,1.75717517158426e-87,1.78356235577126e-92,8.29484375249816e-95,7.87486439688726e-100,2.87474170152287e-101,9.58127039176712e-102,5.43470019644125e-103,6.50833025622449e-108,2.96770065378971e-107,5.9991139379632e-109,2.19584248493749e-111,1.64128972505405e-111,1.28929956239277e-116,6.29082368678206e-122
"all-MiniLM-L12-v2+Euclidean distance",0.0624335692300689,0.124318339683794,0.418710888496221,0.477779896107058,0.638003080947848,NA,1,0.649867586599148,0.53102741394316,0.218905171635151,0.00160889809457122,1.72577529580123e-06,7.61159034200196e-10,2.61092196103591e-11,2.83069694623531e-14,1.42936444705883e-24,4.61771234996627e-51,4.65332984863278e-49,2.65992572408129e-63,8.3583743536262e-67,1.29112420508112e-74,7.98124723855865e-75,1.25496591574507e-82,4.92057790287678e-84,5.01301503816326e-86,3.62374131249503e-97,4.28351908861497e-94,1.62285624866011e-99,1.57558753657097e-96,3.30081165089583e-100,4.89549873095075e-101,2.85297244598778e-102,6.14345179961009e-102,8.11723562124067e-107,1.36031295208894e-112,1.91566058108171e-116
"all-MiniLM-L6-v2+Euclidean distance",0.052783983018157,0.0819427907812138,0.38537184358426,0.442050748256772,0.573597431428941,1,NA,0.674225799231099,0.560706242462419,0.219923367922643,0.00153703517158369,2.90317965708625e-06,2.83937502741301e-09,1.85047295754805e-11,2.34263160213516e-14,1.59982670037095e-24,1.98519356412446e-54,4.64487605996724e-50,1.11850022272542e-63,5.33996434029826e-68,5.37309764429198e-75,1.6723330560086e-75,9.86176683159173e-83,4.72889733415134e-85,4.69732276998977e-87,3.67532088527279e-95,1.47135583643294e-94,1.79691078023207e-97,1.18394025418349e-96,4.86711294603747e-101,3.65985437811249e-101,3.93325671993255e-103,9.30601845626664e-103,1.27777403169874e-106,2.25111673393699e-111,6.5175044449045e-117
"ADA-002+AP",0.00863331879260799,0.0525066443458829,0.144903040818822,0.25139081094983,0.00161484433122676,0.649867586599148,0.674225799231099,NA,0.86034168619481,0.149428081402869,0.0187446073636564,4.08935348458244e-05,2.48948482679417e-07,1.10312924603346e-08,3.14841620489876e-14,2.88094499815184e-24,5.04228437301828e-44,6.72150141548619e-46,6.25941073073497e-59,6.17233605691001e-65,3.86636551102273e-75,3.12493312919399e-73,2.3531006307068e-81,5.95413361417825e-85,1.34343089438107e-87,2.05497007535863e-92,1.33899956957642e-94,9.61341829667447e-95,1.1811035558491e-95,1.89791635300718e-100,7.24333605318569e-100,4.01914751913436e-101,2.58936805634605e-104,2.63000754074161e-105,1.79257072206073e-110,1.00033154990719e-115
"LTE-3+K-means",1.91627104469645e-06,0.0509759092694764,0.00325040006997771,0.209963256698937,0.215288967186803,0.53102741394316,0.560706242462419,0.86034168619481,NA,0.596687484936998,0.044493533794218,0.000331332085803035,7.09496241395588e-06,9.36666637182166e-08,3.07430076405037e-12,2.40859693062413e-24,3.03743651695404e-43,4.81723902776269e-43,2.50799568882398e-57,1.62544801643061e-62,3.48138283964898e-72,1.12459531474837e-70,6.98061354936886e-80,4.47270058408378e-85,9.4644720709295e-89,3.36609683688092e-90,2.42949761119083e-90,7.35164198948996e-93,4.074329273039e-93,8.85385842816333e-97,1.28424735946755e-97,3.79202390020084e-97,3.02811547814812e-98,5.31859476876161e-100,7.25933612262688e-108,2.23810345056991e-112
"ADA-002+K-means",0.000760946116376565,0.0058062207569314,0.0218170524504714,0.0553614915108863,0.000393746430908307,0.218905171635151,0.219923367922643,0.149428081402869,0.596687484936998,NA,0.147333870992017,0.001428352985,3.60497437795721e-05,1.63169282764594e-06,2.48368132510216e-11,1.11337476577591e-20,4.30184902523891e-39,3.56899316841401e-40,4.77327969273312e-54,5.80197001549192e-59,1.64273786487375e-69,4.77710027155405e-68,1.17104738755807e-75,4.07688784794189e-80,4.74560359414052e-83,9.67999246314116e-88,1.47503601535857e-88,4.46677518141497e-90,1.13096492176206e-91,1.02780415291277e-95,1.58698070300539e-95,4.46449187804217e-96,1.55897587453312e-98,6.15074923283702e-100,3.90441588145575e-105,2.19584248493749e-111
