"","LTE-3+Euclidean distance","ADA-002+Euclidean distance","ADA-002+AP","LTE3+AP","LTE-3+K-means","ADA-002+K-means","all_MiniLM_L6_v2+Euclidean distance","all_mpnet_base+Euclidean distance","e5_large+Euclidean distance","all_MiniLM_L12_v2+Euclidean distance","nomic+Euclidean distance"
"LTE-3+Euclidean distance",0.633142764429973,0.157893909596348,0.144949299398808,0.517670336711151,0.401302302386237,0.137896164122169,0.0929688999827407,0.111818733736608,0.10397653893358,0.0881491730327895,0.148381185933569
"ADA-002+Euclidean distance",0.157893909596348,0.651836950975972,0.545703479536578,0.145089294255727,0.130696750711016,0.464952050434794,0.135076265111842,0.128024011248371,0.157315379117826,0.111166823644468,0.152818249982935
"ADA-002+AP",0.144949299398808,0.545703479536578,0.65513986062421,0.137246821859274,0.134262382265887,0.475625148354091,0.123234822665722,0.118759910244239,0.142050952179869,0.100721777491399,0.137051912646282
"LTE3+AP",0.517670336711151,0.145089294255727,0.137246821859274,0.641060888181872,0.407465855425684,0.138935473125595,0.0825947968404765,0.100403407701157,0.102805167151942,0.0783603254024889,0.128244299769905
"LTE-3+K-means",0.401302302386237,0.130696750711016,0.134262382265887,0.407465855425684,0.647209136574801,0.144635018847722,0.0727035379131733,0.0822725752582807,0.0844516653502412,0.067355063777204,0.120409436351562
"ADA-002+K-means",0.137896164122169,0.464952050434794,0.475625148354091,0.138935473125595,0.144635018847722,0.664661150102769,0.110329071324379,0.10848831581334,0.1262489412915,0.0953336418639141,0.122934152948609
"all_MiniLM_L6_v2+Euclidean distance",0.0929688999827407,0.135076265111842,0.123234822665722,0.0825947968404765,0.0727035379131733,0.110329071324379,0.638487417987487,0.176136281465351,0.163509882752065,0.317176282365928,0.171478065297423
"all_mpnet_base+Euclidean distance",0.111818733736608,0.128024011248371,0.118759910244239,0.100403407701157,0.0822725752582807,0.10848831581334,0.176136281465351,0.632456031180581,0.183962385399459,0.186272938518138,0.194706294196013
"e5_large+Euclidean distance",0.10397653893358,0.157315379117826,0.142050952179869,0.102805167151942,0.0844516653502412,0.1262489412915,0.163509882752065,0.183962385399459,0.630370815009037,0.164969471119748,0.176518617277692
"all_MiniLM_L12_v2+Euclidean distance",0.0881491730327895,0.111166823644468,0.100721777491399,0.0783603254024889,0.067355063777204,0.0953336418639141,0.317176282365928,0.186272938518138,0.164969471119748,0.628959760475513,0.163242304768393
"nomic+Euclidean distance",0.148381185933569,0.152818249982935,0.137051912646282,0.128244299769905,0.120409436351562,0.122934152948609,0.171478065297423,0.194706294196013,0.176518617277692,0.163242304768393,0.669106632962492
