"","method","fifth"
"1","all-MiniLM-L12-v2+Euclidean Dist",67.8
"2","e5-large+Euclidean Dist",67.4
"3","all-mpnet-base-v2+Euclidean Dist",67.1
"4","all-MiniLM-L6-v2+Euclidean Dist",66.5
"5","LTE-3+Euclidean Dist",65.4
"6","LTE-3+AP",64.4
"7","LTE-3+KMeans",63.4
"8","ADA-002+Euclidean Dist",62.6
"9","ADA-002+AP",62.5
"10","nomic+Euclidean Dist",60.8
"11","ADA-002+KMeans",60.2
"12","e5large_v2+Euclidean Dist",58.7
"13","all-roberta-large-v1+Euclidean Dist",58.6
"14","gtr-t5-large+Euclidean Dist",57
"15","embed-english-v2.0+Euclidean Dist",53.5
"16","sapBERT+Euclidean Dist",51.7
"17","ClinicalBERT+Euclidean Dist",40
"18","BioGPT+Euclidean Dist",39.7
"19","LaBSE+Euclidean Dist",36.1
"20","MedLlama_13b+Euclidean Dist",31.9
"21","Levenshtein",30.3
"22","Levenshtein+AP",28.4
"23","Llama3.3_70B+Euclidean Dist",27.4
"24","Jarro Winkler",23.2
"25","Jarro Winkler+AP",23
"26","Cosine+AP",21.7
"27","Cosine",21.6
"28","DeepSeek_8B+Euclidean Dist",21.4
"29","PubMedBERT+Euclidean Dist",21
"30","LLama3.2_3B+Euclidean Dist",20.5
"31","BioBERT+Euclidean Dist",20
"32","LLama3.0+Euclidean Dist",19.8
"33","sciBERT+Euclidean Dist",19.3
"34","ModernBERT+Euclidean Dist",18.2
"35","Phi-4+Euclidean Dist",15.4
"36","MedLlama2+Euclidean Dist",13.7
